channel_name,channel_link,sub_count,view_count,video_count,region
Worldwide Spoken English By VS,https://www.youtube.com/channel/UCnaFACyDcpvlLBSLT_VWlqA,1190000,329193834,28797,US
santosh kumar,https://www.youtube.com/channel/UCzqqr31HSE-B4HcM1Cw4RiQ,299000,22144583,825,US
We Make Creators,https://www.youtube.com/channel/UCr6hHjMNvgQxErQ1ZJV4drw,865000,84301093,800,US
Rinoa's Auspicious Travails,https://www.youtube.com/channel/UC_vyXxaDT3ZBLbxX3k3VelQ,115000,38646804,1439,US
My Smart Support,https://www.youtube.com/channel/UCQmg6f48mtIOX4DoerGJYWw,1380000,157344205,1545,US
Hossain Tech,https://www.youtube.com/channel/UC7GxoejG1BFqWxxCy7i-ikw,181000,9841785,557,US
Video Creators,https://www.youtube.com/channel/UCcB3bcWy0_QK7uPQvTD0LwQ,572000,52233106,1298,US
Manoj Dey,https://www.youtube.com/channel/UCT2xzagsBVtStUCA2ulvKmQ,4010000,460966247,1377,US
SOAMJENA,https://www.youtube.com/channel/UCzV07t6mx27AcEPmpAUJYXw,399000,73270080,1276,US
Tech Champion Support,https://www.youtube.com/channel/UCpIkceSRGakqavix5m4ybYA,584000,66326693,784,US
TheCGBros,https://www.youtube.com/channel/UC-1rx8j9Ggp8mp4uD0ZdEIA,4430000,1645483898,5028,US
Technical Yogi,https://www.youtube.com/channel/UCA7RxVq2pMGYp_-Qo4S2dEw,1740000,221990899,2184,US
SHAMIMLEM,https://www.youtube.com/channel/UCvYuikKhP_-htfLlSczGSwg,93400,4012556,287,US
Invisible People,https://www.youtube.com/channel/UCh4pyZUB0mNzieaKv831flA,1100000,275538582,1187,US
David Walsh Online,https://www.youtube.com/channel/UC-z8sF6hRmf4QRNHRjnzZUQ,261000,34175765,345,US
Fogat Techno,https://www.youtube.com/channel/UCGvmzBHTgM4jhKmNbNRRPTA,91800,1521599,528,US
vidIQ,https://www.youtube.com/channel/UCZLFu8bHbwtnIgWLg5UtINw,1420000,101733319,1320,US
Nitya K Support,https://www.youtube.com/channel/UC0En_eDGCJ8ZK24ouLKJJ4w,298000,27894479,524,US
